Date,ADA,BTC,ETH
2022-04-07 23:58:00,1.08909328,43452.1,3230.01
2022-04-08 23:58:00,1.027619736,42262.0,3192.47
2022-04-09 23:58:00,1.044374778,42766.9,3258.99
2022-04-10 23:58:00,1.027872295,42285.5,3213.61
2022-04-11 23:58:00,0.918098023,39465.1,2978.61
2022-04-12 23:58:00,0.954595429,40085.9,3027.82
2022-04-13 23:58:00,0.972779811,41149.5,3120.03
2022-04-14 23:58:00,0.932927079,39952.9,3021.78
2022-04-15 23:58:00,0.953914191,40549.9,3040.67
2022-04-16 23:58:00,0.95200398,40387.6,3060.35
2022-04-17 23:58:00,0.917437838,39684.8,2988.4
2022-04-18 23:58:00,0.936730035,40801.9,3060.02
2022-04-19 23:58:00,0.953318535,41532.8,3106.79
2022-04-20 23:58:00,0.936343331,41377.6,3077.09
2022-04-21 23:58:00,0.908958542,40526.9,2987.72
2022-04-22 23:58:00,0.906886235,39760.1,2967.86
2022-04-23 23:58:00,0.889166218,39436.2,2933.44
2022-04-24 23:58:00,0.884149281,39468.6,2920.41
2022-04-25 23:58:00,0.898956475,40439.2,3008.45
2022-04-26 23:58:00,0.826111454,38112.4,2809.42
2022-04-27 23:58:00,0.841093076,39251.1,2890.24
2022-04-28 23:58:00,0.844430235,39743.2,2935.79
2022-04-29 23:58:00,0.806613428,38593.1,2816.94
2022-04-30 23:58:00,0.757164678,37661.2,2728.65
2022-05-01 23:58:00,0.789575518,38471.6,2824.86
2022-05-02 23:58:00,0.780094042,38511.9,2857.02
2022-05-03 23:58:00,0.769131584,37720.8,2780.33
2022-05-04 23:58:00,0.896707088,39669.5,2939.98
2022-05-05 23:58:00,0.790810302,36539.8,2747.43
2022-05-06 23:58:00,0.782619434,36029.2,2695.14
2022-05-07 23:58:00,0.761666053,35458.0,2634.51
2022-05-08 23:58:00,0.739516391,34027.9,2519.1
2022-05-09 23:58:00,0.609839231,30078.2,2228.5
2022-05-10 23:58:00,0.628702572,31004.3,2344.14
2022-05-11 23:58:00,0.515156992,28989.4,2075.92
2022-05-12 23:58:00,0.472979861,28941.9,1954.39
2022-05-13 23:58:00,0.528435102,29232.1,2007.3
2022-05-14 23:58:00,0.536970719,30068.4,2053.33
2022-05-15 23:58:00,0.598405971,31280.7,2143.64
2022-05-16 23:58:00,0.555491939,29840.0,2018.55
2022-05-17 23:58:00,0.577109546,30412.1,2088.94
2022-05-18 23:58:00,0.505051486,28694.2,1910.82
2022-05-19 23:58:00,0.530405194,30321.6,2017.57
2022-05-20 23:58:00,0.516871103,29155.7,1956.36
2022-05-21 23:58:00,0.527695048,29408.2,1972.64
2022-05-22 23:58:00,0.542009784,30260.8,2040.92
2022-05-23 23:58:00,0.511964346,29092.3,1970.8
2022-05-24 23:58:00,0.520419101,29646.0,1978.13
2022-05-25 23:58:00,0.512303823,29503.4,1940.77
2022-05-26 23:58:00,0.479281171,29321.2,1805.31
2022-05-27 23:58:00,0.454727084,28576.2,1720.78
2022-05-28 23:58:00,0.463749371,29008.9,1790.23
2022-05-29 23:58:00,0.480553264,29447.2,1811.1
2022-05-30 23:58:00,0.568981948,31705.6,1994.59
2022-05-31 23:58:00,0.628374575,31784.0,1940.59
2022-06-01 23:58:00,0.553085489,29788.7,1816.05
2022-06-02 23:58:00,0.585471574,30426.1,1832.45
2022-06-03 23:58:00,0.557632529,29670.8,1773.25
2022-06-04 23:58:00,0.56541444,29843.1,1803.54
2022-06-05 23:58:00,0.566333115,29899.6,1804.68
2022-06-06 23:58:00,0.609208494,31350.3,1858.23
2022-06-07 23:58:00,0.613434752,31148.3,1811.89
2022-06-08 23:58:00,0.640712093,30177.0,1790.7
2022-06-09 23:58:00,0.632274446,30079.6,1786.55
2022-06-10 23:58:00,0.573008294,29063.1,1660.78
2022-06-11 23:58:00,0.55284008,28356.8,1531.09
2022-06-12 23:58:00,0.494676151,26555.0,1439.64
2022-06-13 23:58:00,0.462529478,22494.3,1205.15
2022-06-14 23:58:00,0.483284274,22120.2,1207.58
2022-06-15 23:58:00,0.531950254,22562.3,1236.64
2022-06-16 23:58:00,0.474171998,20369.9,1066.86
2022-06-17 23:58:00,0.486469429,20444.5,1085.76
2022-06-18 23:58:00,0.456474692,18948.8,993.64
2022-06-19 23:58:00,0.48431192,20552.4,1126.93
2022-06-20 23:58:00,0.490700447,20552.8,1126.83
2022-06-21 23:58:00,0.479344638,20696.9,1125.1
2022-06-22 23:58:00,0.458305231,19971.2,1048.96
2022-06-23 23:58:00,0.479788231,21104.4,1144.11
2022-06-24 23:58:00,0.499360812,21219.5,1224.47
2022-06-25 23:58:00,0.499226349,21477.7,1241.33
2022-06-26 23:58:00,0.488939156,21027.9,1196.86
2022-06-27 23:58:00,0.485037621,20723.6,1191.27
2022-06-28 23:58:00,0.468825432,20266.9,1142.65
2022-06-29 23:58:00,0.464760308,20093.5,1099.15
2022-06-30 23:58:00,0.461070417,19985.6,1070.08
2022-07-01 23:58:00,0.447656936,19247.3,1057.57
2022-07-02 23:58:00,0.455759056,19224.0,1065.6
2022-07-03 23:58:00,0.455397633,19291.3,1072.88
2022-07-04 23:58:00,0.468468586,20235.5,1149.99
2022-07-05 23:58:00,0.45788627,20169.4,1133.55
2022-07-06 23:58:00,0.461750197,20541.8,1186.43
2022-07-07 23:58:00,0.477652441,21644.2,1240.14
2022-07-08 23:58:00,0.46478301,21780.8,1226.74
2022-07-09 23:58:00,0.477880483,21583.9,1216.78
2022-07-10 23:58:00,0.462093022,20848.5,1167.9
2022-07-11 23:58:00,0.434412726,19942.4,1095.56
2022-07-12 23:58:00,0.416460334,19301.5,1037.33
2022-07-13 23:58:00,0.437301542,20173.3,1114.26
2022-07-14 23:58:00,0.440176372,20553.5,1192.7
2022-07-15 23:58:00,0.442324086,20827.5,1232.89
2022-07-16 23:58:00,0.457349067,21195.5,1355.59
2022-07-17 23:58:00,0.447556899,20790.2,1338.03
2022-07-18 23:58:00,0.492501222,22442.2,1581.63
2022-07-19 23:58:00,0.515091004,23395.0,1542.65
2022-07-20 23:58:00,0.490480109,23226.9,1522.12
2022-07-21 23:58:00,0.499574736,23150.8,1575.68
2022-07-22 23:58:00,0.483398324,22687.6,1535.56
2022-07-23 23:58:00,0.517318994,22450.6,1549.15
2022-07-24 23:58:00,0.513276616,22604.4,1597.72
2022-07-25 23:58:00,0.477228112,21310.2,1440.75
2022-07-26 23:58:00,0.466122476,21222.0,1444.03
2022-07-27 23:58:00,0.510070405,22949.6,1636.4
2022-07-28 23:58:00,0.512927623,23851.7,1725.19
2022-07-29 23:58:00,0.524278587,23784.5,1722.25
2022-07-30 23:58:00,0.524546624,23661.0,1697.96
2022-07-31 23:58:00,0.515698541,23307.2,1680.56
2022-08-01 23:58:00,0.512976593,23273.8,1630.63
2022-08-02 23:58:00,0.497778088,22993.7,1631.17
2022-08-03 23:58:00,0.500762609,22825.0,1620.13
2022-08-04 23:58:00,0.49925704,22623.9,1610.1
2022-08-05 23:58:00,0.517684332,23288.2,1738.38
2022-08-06 23:58:00,0.510681173,22960.9,1691.3
2022-08-07 23:58:00,0.527742527,23177.3,1700.42
2022-08-08 23:58:00,0.535572236,23797.3,1774.54
